iter	Passed	Remaining
0	152	152437
1	157	78766
2	163	54420
3	169	42128
4	175	34898
5	180	29932
6	186	26467
7	192	23813
8	196	21640
9	200	19822
10	203	18304
11	206	16975
12	208	15840
13	210	14822
14	212	13940
15	214	13169
16	215	12483
17	217	11859
18	218	11303
19	220	10798
20	221	10340
21	223	9913
22	224	9521
23	225	9166
24	226	8839
25	227	8535
26	228	8248
27	230	7989
28	231	7743
29	232	7511
30	233	7298
31	234	7091
32	235	6899
33	236	6721
34	237	6553
35	238	6394
36	239	6244
37	241	6103
38	242	5966
39	243	5835
40	244	5719
41	245	5607
42	246	5495
43	247	5388
44	249	5288
45	250	5190
46	251	5096
47	252	5007
48	253	4921
49	254	4838
50	255	4763
51	257	4686
52	258	4612
53	259	4542
54	260	4472
55	261	4406
56	262	4342
57	263	4282
58	264	4223
59	265	4165
60	266	4109
61	268	4054
62	269	4004
63	270	3953
64	271	3901
65	272	3854
66	273	3807
67	274	3756
68	275	3712
69	276	3669
70	277	3626
71	278	3585
72	279	3546
73	280	3508
74	281	3470
75	282	3434
76	283	3398
77	284	3368
78	286	3335
79	287	3302
80	288	3270
81	289	3239
82	290	3209
83	291	3180
84	292	3147
85	293	3118
86	294	3087
87	295	3060
88	296	3034
89	297	3010
90	298	2985
91	300	2960
92	301	2936
93	302	2913
94	303	2889
95	304	2866
96	305	2842
97	306	2821
98	307	2800
99	308	2780
100	309	2758
101	310	2733
102	311	2713
103	312	2695
104	314	2676
105	315	2659
106	316	2642
107	317	2624
108	319	2608
109	320	2590
110	321	2573
111	322	2556
112	323	2539
113	324	2522
114	325	2505
115	326	2488
116	327	2473
117	328	2457
118	329	2440
119	330	2425
120	331	2410
121	332	2396
122	333	2378
123	334	2364
124	335	2350
125	336	2336
126	337	2322
127	338	2307
128	339	2293
129	340	2280
130	341	2268
131	342	2255
132	343	2242
133	345	2229
134	346	2217
135	347	2206
136	348	2195
137	349	2182
138	350	2171
139	351	2159
140	352	2149
141	353	2137
142	354	2126
143	356	2116
144	357	2106
145	358	2095
146	359	2085
147	360	2076
148	361	2066
149	363	2057
150	364	2047
151	365	2037
152	366	2027
153	367	2018
154	368	2009
155	369	1999
156	370	1989
157	371	1981
158	372	1972
159	373	1962
160	374	1953
161	375	1944
162	377	1936
163	378	1927
164	379	1919
165	380	1910
166	381	1902
167	382	1893
168	383	1885
169	384	1879
170	386	1872
171	387	1864
172	388	1858
173	389	1851
174	391	1843
175	392	1836
176	393	1829
177	394	1821
178	395	1814
179	396	1806
180	397	1796
181	398	1789
182	399	1782
183	400	1775
184	401	1768
185	402	1761
186	403	1754
187	404	1748
188	405	1741
189	407	1735
190	408	1728
191	409	1722
192	410	1715
193	411	1709
194	412	1703
195	413	1697
196	414	1690
197	415	1684
198	416	1678
199	418	1672
200	419	1666
201	420	1660
202	421	1653
203	422	1647
204	423	1641
205	424	1636
206	425	1630
207	426	1624
208	427	1619
209	428	1613
210	430	1608
211	431	1602
212	432	1596
213	433	1591
214	434	1585
215	435	1580
216	436	1574
217	437	1569
218	438	1564
219	439	1558
220	440	1553
221	441	1548
222	443	1543
223	444	1538
224	445	1533
225	446	1528
226	447	1523
227	448	1518
228	449	1512
229	450	1507
230	451	1502
231	452	1497
232	453	1492
233	454	1488
234	455	1484
235	456	1479
236	457	1474
237	459	1469
238	460	1465
239	461	1460
240	462	1456
241	463	1451
